Repeticion,Distribucion,C1,C2,C3,C4,C5,C6,C7,Indefinido
1,Normal,4,7,14,13,15,10,7,
2,Normal,8,8,13,10,16,5,10,
3,Normal,7,8,11,10,19,6,9,
4,Normal,5,4,11,12,12,14,11,1
5,Normal,10,3,13,10,16,8,10,1
6,Normal,5,5,13,13,18,11,5,
7,Normal,2,8,17,9,11,13,10,
8,Normal,6,6,13,18,12,9,6,
9,Normal,4,6,14,16,13,8,9,
10,Normal,7,6,17,12,16,6,6,
11,Normal,1,10,11,12,16,7,13,
12,Normal,3,10,16,13,11,9,8,
13,Normal,7,8,16,13,9,9,8,
14,Normal,4,8,13,11,17,10,7,
15,Normal,7,10,11,13,16,9,4,
16,Uniforme,10,10,5,8,12,11,13,1
17,Uniforme,12,10,7,10,10,9,12,
18,Uniforme,7,13,11,7,8,7,17,
19,Uniforme,9,11,9,9,10,11,11,
20,Uniforme,4,6,10,9,12,13,15,
21,Uniforme,12,4,6,12,12,7,14,1
22,Uniforme,11,9,7,11,8,14,9,1
23,Uniforme,8,10,9,10,12,11,10,2
24,Uniforme,10,7,6,8,11,13,11,
25,Uniforme,9,8,13,12,7,11,10,
26,Uniforme,9,14,6,10,10,9,12,
27,Uniforme,3,10,8,14,13,9,13,
28,Uniforme,3,10,8,10,16,10,13,
29,Uniforme,8,11,6,6,11,11,17,
30,Uniforme,6,9,6,13,16,14,11,
